pl_name,hostname,st_met,pl_bmassj,pl_bmasse,log_mass,is_giant,planet_type,met_group,pl_orbper,st_teff,st_mass,discoverymethod
TOI-4153 b,TOI-4153,0.317,1.15,365.50266805,0.06069784035361165,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4.6174141,6860.0,1.572,Transit
TOI-4201 b,TOI-4201,0.52,2.48,788.21444936,0.3944516808262163,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.5819194,3794.0,0.61,Transit
TOI-421 b,TOI-421,-0.044,0.02108056,6.7,-1.6761178563779209,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),5.197576,5291.0,0.833,Transit
TOI-421 c,TOI-421,-0.044,0.04436356,14.1,-1.3529736107122332,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),16.067541,5291.0,0.833,Transit
TOI-4214 b,TOI-4214,0.294,0.52,165.27077164,-0.28399665636520083,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.4913885,6370.0,1.382,Transit
TOI-431 b,TOI-431,0.2,0.0096593,3.07,-2.0150543453394323,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),0.490047,4850.0,0.78,Transit
TOI-431 c,TOI-431,0.2,0.00890418,2.83,-2.050406069224045,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),4.8494,4850.0,0.78,Radial Velocity
TOI-431 d,TOI-431,0.2,0.03114888,9.9,-1.5065575643680342,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),12.46103,4850.0,0.78,Transit
TOI-4311 b,TOI-4311,-0.065,0.01415858,4.5,-1.8489803009604011,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),0.9902738,5063.0,0.816,Transit
TOI-4311 c,TOI-4311,-0.065,0.04272746,13.58,-1.3692929237232052,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),15.070425,5063.0,0.816,Transit
TOI-4329 b,TOI-4329,0.29,0.45,143.02278315,-0.3467874862246563,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),2.9223,6000.0,1.538,Transit
TOI-4336 A b,TOI-4336 A,0.14,0.01047735,3.33,-1.979748548068788,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),16.336351,3307.0,0.306,Transit
TOI-4336 A c,TOI-4336 A,0.14,0.00487685,1.55,-2.3118606020410177,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),7.587266,3307.0,0.306,Transit
TOI-4342 b,TOI-4342,0.26,0.02296837,7.3,-1.6388698243575963,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),5.5382592,3866.0,0.587,Transit
TOI-4342 c,TOI-4342,0.26,0.01510249,4.8,-1.8209514431632208,0,Terrestrial (Earth-like),Metal-rich ([Fe/H] > +0.15),10.688662,3866.0,0.587,Transit
TOI-4377 b,TOI-4377,0.205,0.957,304.1617855,-0.01908806222315645,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),4.378081,4974.0,1.36,Transit
TOI-4379 b,TOI-4379,0.16,1.113,353.74301699,0.04649516433470831,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.25352,6020.0,1.372,Transit
TOI-4406 b,TOI-4406,0.1,0.3,95.3485221,-0.5228787452803376,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),30.08364,6219.0,1.19,Transit
TOI-4409 b,TOI-4409,0.0,0.047,14.93793513,-1.3279021420642825,0,Neptunian / Sub-Neptune,Solar-like (-0.15 <= [Fe/H] <= +0.15),92.491789,4928.0,0.763,Transit
TOI-4427 b,TOI-4427,0.002,0.276,87.72064033,-0.5590909179347823,1,Gas Giant (Jupiter-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),4.6182621,5347.0,0.9,Transit
TOI-4438 b,TOI-4438,0.07,0.01293151,4.11,-1.8883507600091256,0,Terrestrial (Earth-like),Solar-like (-0.15 <= [Fe/H] <= +0.15),7.446295,3501.0,0.345,Transit
TOI-4458 b,TOI-4458,0.17,1.737,552.06794296,0.23979981844709866,1,Gas Giant (Jupiter-like),Metal-rich ([Fe/H] > +0.15),3.9393792,6151.0,1.47,Transit
