pl_name,hostname,pl_letter,pl_bmasse,pl_bmassj,pl_rade,pl_orbper,st_met,st_teff,st_mass,st_rad,disc_year,discoverymethod
"LTT 9779 b","LTT 9779","b",29.32000000,0.09225057,4.72000000,0.79205200000,0.2700,5443.00,1.020000,0.949000,2020,"Transit"
"NGC 2682 Sand 1429 b","NGC 2682 Sand 1429","b",572.09113260,1.80000000,,77.48000000000,-0.0130,6000.00,1.260000,2.130000,2024,"Radial Velocity"
"NGTS-1 b","NGTS-1","b",258.07796000,0.81200000,14.90797000,2.64729800000,0.0000,3916.00,0.617000,0.573000,2017,"Transit"
"NGTS-11 b","NGTS-11","b",109.33352000,0.34400000,9.15775300,35.45533000000,0.2200,5050.00,0.862000,0.832000,2020,"Transit"
"NGTS-12 b","NGTS-12","b",66.10864000,0.20800000,11.74703200,7.53280600000,-0.0300,5690.00,1.021000,1.589000,2020,"Transit"
"NGTS-13 b","NGTS-13","b",1538.29720000,4.84000000,12.80067800,4.11902700000,0.2500,5819.00,1.300000,1.788000,2021,"Transit"
"NGTS-14 A b","NGTS-14 A","b",29.24036000,0.09200000,4.97679600,3.53571730000,0.1000,5187.00,0.898000,0.842000,2021,"Transit"
"NGTS-15 b","NGTS-15","b",238.68913366,0.75100000,12.32987877,3.27623000000,0.1500,5600.00,0.995000,0.954000,2021,"Transit"
"NGTS-16 b","NGTS-16","b",211.99154747,0.66700000,14.57167491,4.84532000000,0.3500,5550.00,1.002000,1.213000,2021,"Transit"
"NGTS-17 b","NGTS-17","b",242.82090295,0.76400000,13.89913607,3.24253000000,0.1500,5650.00,1.025000,1.337000,2021,"Transit"
"NGTS-18 b","NGTS-18","b",129.99181846,0.40900000,13.56286665,3.05125000000,0.1500,5610.00,1.003000,1.392000,2021,"Transit"
"NGTS-2 b","NGTS-2","b",235.19420000,0.74000000,17.87835500,4.51116400000,-0.0600,6478.00,1.640000,1.702000,2018,"Transit"
"NGTS-20 b","NGTS-20","b",947.12865286,2.98000000,11.99360935,54.18915000000,0.1500,5980.00,1.470000,1.780000,2022,"Transit"
"NGTS-21 b","NGTS-21","b",750.07504052,2.36000000,14.90794433,1.54338970000,-0.2600,4660.00,0.720000,0.860000,2022,"Transit"
"NGTS-23 b","NGTS-23","b",194.82881349,0.61300000,14.20177855,4.07643260000,-0.2600,6057.00,1.010000,1.240000,2022,"Transit"
"NGTS-24 b","NGTS-24","b",165.27077164,0.52000000,13.60770257,3.46787960000,0.2700,5820.00,1.260000,1.640000,2022,"Transit"
